DimItem_ItemCode_,DimItem_BPItemCode_,DimItem_ItemDesc_,ItemCategory,ItemGroupCode,ItemGroupDesc,ProductFamilyCode,ProductFamilyDesc,ItemModelGroupCode,OrigCountryRegionId,ItemModelGroupDesc,Sub_Brand,PackagingGroupCode,Grade,UnitCode_Sales,TaxItemGroupCode_Sales,CaseVolume,ContainerVolume,PackSize,PackagingQty,Pkg_or_Bulk,ProductStatus,DimItem_IsPFLItem_,DimItem_CreatedDateTime_,DimItem_ModifiedDateTime_
4409872,4409872,"Wakefield Slideway 220 Lubricant, 1 X 984.2L",LUBES,FG,Finished Goods,WAKE,Wakefield,SLID,,Slideway Oil,Wakefield,TOTE,ISO220,TO,ALLTAX,984.2,984.2,PACK,1,Package,Active,False,4/29/2025 12:38:00 PM,9/2/2025 12:14:00 PM
4410102,WCILITHIUMGREASECA,"OBSOLETE - Wakefield Lithium Grease, 6x2kg",LUBES,FG,Finished Goods,WAKE,Wakefield,GRS,,Grease,Wakefield,CASE,NOGD,CA,ALLTAX,12,2,PACK,6,Package,Obsolete,False,5/15/2017 1:42:00 PM,2/3/2022 3:45:00 PM
4410113,WCILITHIUMGREASEDR,"WCI Lithium Grease, 181.4kg (80407-2)",LUBES,FG,Finished Goods,WAKE,Wakefield,GRS,,Grease,Wakefield,DRUM,NOGD,DR,ALLTAX,181.4,181.4,PACK,1,Package,Active,False,5/15/2017 1:42:00 PM,5/7/2024 10:53:00 PM
4410118,WCILITHIUMGREASEKE,"WCI Lithium Grease, 54.4kg (80407-2)",LUBES,FG,Finished Goods,WAKE,Wakefield,GRS,,Grease,Wakefield,KEG,NOGD,KE,EHCCG55U,54.43,54.43,PACK,1,Package,Active,False,5/15/2017 1:42:00 PM,5/7/2024 10:53:00 PM
4410130,WCILITHIUMGREASEPL,"WCI Lithium Grease, 15.9kg (80407-2)",LUBES,FG,Finished Goods,WAKE,Wakefield,GRS,,Grease,Wakefield,PAIL,NOGD,PL,EHCCG50U,15.9,15.9,PACK,1,Package,Active,False,5/15/2017 1:42:00 PM,5/7/2024 10:53:00 PM
4410181,WCILITHIUMGREASECA,"WCI Lithium Grease, 4x10x400g (80407-2)",LUBES,FG,Finished Goods,WAKE,Wakefield,GRS,,Grease,Wakefield,CASE,NOGD,CA,EHCCG50U,16,0.4,PACK,40,Package,Active,False,5/15/2017 1:42:00 PM,5/7/2024 10:53:00 PM
4410202,WCIMPGREASECA,"OBSOLETE Wakefield MP Grease, 6x2kg",LUBES,FG,Finished Goods,WAKE,Wakefield,GRS,,Grease,Wakefield,CASE,NOGD,CA,ALLTAX,12,2,PACK,6,Package,Obsolete,False,5/31/2017 3:37:00 PM,8/30/2022 2:41:00 PM
4410213,WCIMPGREASEDR,"OBSOLETE - Wakefield MP Grease, 1x181.4kg",LUBES,FG,Finished Goods,WAKE,Wakefield,GRS,,Grease,Wakefield,DRUM,NOGD,DR,ALLTAX,181.4,181.4,PACK,1,Package,Obsolete,False,5/31/2017 3:37:00 PM,11/19/2021 3:42:00 PM
4410218,WCIMPGREASEKE,"USE-UP Wakefield MP Grease, 54.43kg",LUBES,FG,Finished Goods,WAKE,Wakefield,GRS,,Grease,Wakefield,KEG,NOGD,KE,EHCCG55U,54.43,54.43,PACK,1,Package,UseUp,False,5/15/2017 1:42:00 PM,7/11/2019 12:38:00 PM
4410230,WCIMPGREASEPL,"OBSOLETE - Wakefield MP Grease, 15.9kg",LUBES,FG,Finished Goods,WAKE,Wakefield,GRS,,Grease,Wakefield,PAIL,NOGD,PL,ALLTAX,15.9,15.9,PACK,1,Package,Obsolete,False,5/15/2017 1:42:00 PM,2/24/2021 6:55:00 PM
4410281,WCIMPGREASECA,"OBSOLETE - Wakefield MP Grease, 4x10x400g",LUBES,FG,Finished Goods,WAKE,Wakefield,GRS,,Grease,Wakefield,CASE,NOGD,CA,ALLTAX,16,0.4,PACK,40,Package,Obsolete,False,5/15/2017 1:42:00 PM,12/17/2019 2:13:00 PM
4410302,4410302,"Obsolete - Wakefield 3% Moly Grease, 17Kg(80543-2C)",LUBES,FG,Finished Goods,WAKE,Wakefield,GRS,,Grease,Wakefield,PAIL,NOGD,PL,ALLTAX,17.3004,17.3004,PACK,1,Package,Obsolete,False,4/5/2019 9:37:00 AM,4/22/2021 10:28:00 AM
